"","college","private","applied","accepted","graduation.rate","acception.rate"
"141","Colorado College","Yes",3207,1577,84,0.491736825693795
"142","Colorado State University","No",9478,6312,59,0.665963283393121
"143","Columbia College MO","Yes",314,158,37,0.503184713375796
"144","Columbia College","Yes",737,614,76,0.833107191316147
"145","Columbia University","Yes",6756,1930,99,0.28567199526347
"146","Concordia College at St. Paul","Yes",281,266,45,0.94661921708185
"147","Concordia Lutheran College","Yes",232,216,42,0.931034482758621
"148","Concordia University CA","Yes",688,497,55,0.722383720930233
"149","Concordia University","Yes",528,403,75,0.763257575757576
"150","Connecticut College","Yes",3035,1546,91,0.509390444810544
"151","Converse College","Yes",440,407,75,0.925
"152","Cornell College","Yes",1538,1329,64,0.864109232769831
"153","Creighton University","Yes",2967,2836,85,0.955847657566566
"154","Culver-Stockton College","Yes",1576,1110,51,0.704314720812183
"155","Cumberland College","Yes",995,789,63,0.792964824120603
"156","D'Youville College","Yes",866,619,46,0.714780600461894
"157","Dana College","Yes",504,482,54,0.956349206349206
"158","Daniel Webster College","Yes",585,508,72,0.868376068376068
"159","Dartmouth College","Yes",8587,2273,98,0.264702457202748
"160","Davidson College","Yes",2373,956,94,0.402865571007164
"161","Defiance College","Yes",571,461,56,0.807355516637478
"162","Delta State University","No",967,945,58,0.977249224405377
"163","Denison University","Yes",2762,2279,81,0.825126719768284
"164","DePauw University","Yes",1994,1656,82,0.83049147442327
"165","Dickinson College","Yes",3014,2539,87,0.842402123424021
"166","Dickinson State University","No",434,412,46,0.949308755760369
"167","Dillard University","Yes",1998,1376,61,0.688688688688689
"168","Doane College","Yes",793,709,60,0.894073139974779
"169","Dominican College of Blauvelt","Yes",360,329,54,0.913888888888889
"170","Dordt College","Yes",604,562,87,0.93046357615894
"171","Dowling College","Yes",1011,829,42,0.81998021760633
"172","Drake University","Yes",2799,2573,77,0.919256877456234
"173","Drew University","Yes",2153,1580,83,0.733859730608453
"174","Drury College","Yes",700,650,67,0.928571428571429
"175","Duke University","Yes",13789,3893,97,0.282326492131409
"176","Earlham College","Yes",1358,1006,78,0.74079528718704
"177","East Carolina University","No",9274,6362,58,0.686003881820142
"178","East Tennessee State University","No",3330,2730,42,0.81981981981982
"179","East Texas Baptist University","Yes",379,341,38,0.899736147757256
"180","Eastern College","Yes",458,369,54,0.805676855895197
"181","Eastern Connecticut State University","No",2172,1493,50,0.687384898710866
"182","Eastern Illinois University","No",5597,4253,76,0.759871359656959
"183","Eastern Mennonite College","Yes",486,440,82,0.905349794238683
"184","Eastern Nazarene College","Yes",516,409,70,0.792635658914729
"185","Eckerd College","Yes",1422,1109,59,0.779887482419128
"186","Elizabethtown College","Yes",2417,1843,81,0.762515515101365
"187","Elmira College","Yes",1457,1045,64,0.717227179135209
"188","Elms College","Yes",245,208,86,0.848979591836735
"189","Elon College","Yes",3624,2786,63,0.768763796909492
"190","Embry Riddle Aeronautical University","Yes",3151,2584,44,0.82005712472231
"191","Emory & Henry College","Yes",765,646,82,0.844444444444444
"192","Emory University","Yes",8506,4168,96,0.490007053844345
"193","Emporia State University","No",1256,1256,50,1
"194","Erskine College","Yes",659,557,67,0.845220030349014
"195","Eureka College","Yes",560,454,53,0.810714285714286
"196","Evergreen State College","No",1801,1101,68,0.611327040533037
"197","Fairfield University","Yes",4784,3346,94,0.699414715719064
"198","Fayetteville State University","No",1455,1064,24,0.73127147766323
"199","Ferrum College","Yes",1339,1107,22,0.826736370425691
"200","Flagler College","Yes",1415,714,69,0.504593639575972
"201","Florida Institute of Technology","Yes",1947,1580,57,0.81150487930149
"202","Florida International University","No",3306,2079,66,0.628856624319419
"203","Florida Southern College","Yes",1381,1040,68,0.753077480086894
"204","Florida State University","No",11651,8683,58,0.745257917775298
"205","Fontbonne College","Yes",291,245,62,0.84192439862543
"206","Fordham University","Yes",4200,2874,80,0.684285714285714
"207","Fort Lewis College","No",3440,2823,46,0.820639534883721
"208","Francis Marion University","No",1801,1655,43,0.918933925596891
"209","Franciscan University of Steubenville","Yes",553,452,83,0.817359855334539
"210","Franklin College","Yes",804,632,60,0.786069651741294
"211","Franklin Pierce College","Yes",5187,4471,51,0.861962598804704
"212","Freed-Hardeman University","Yes",895,548,62,0.612290502793296
"213","Fresno Pacific College","Yes",346,274,54,0.791907514450867
"214","Furman University","Yes",2161,1951,82,0.90282276723739
"215","Gannon University","Yes",2464,1908,65,0.774350649350649
"216","Gardner Webb University","Yes",1110,930,29,0.837837837837838
"217","Geneva College","Yes",668,534,74,0.79940119760479
"218","George Fox College","Yes",809,726,52,0.897404202719407
"219","George Mason University","No",5653,4326,46,0.765257385459048
"220","George Washington University","Yes",7875,5062,72,0.642793650793651
"221","Georgetown College","Yes",727,693,55,0.953232462173315
"222","Georgetown University","Yes",11115,2881,95,0.259199280251912
"223","Georgia Institute of Technology","No",7837,4527,70,0.577644506826592
"224","Georgia State University","No",3793,2341,34,0.617189559715265
"225","Georgian Court College","Yes",348,281,76,0.807471264367816
"226","Gettysburg College","Yes",3596,2466,83,0.685761957730812
"227","Goldey Beacom College","Yes",633,468,36,0.739336492890995
"228","Gonzaga University","Yes",1886,1524,69,0.808059384941676
"229","Gordon College","Yes",674,565,66,0.838278931750742
"230","Goshen College","Yes",440,396,72,0.9
"231","Goucher College","Yes",1151,813,77,0.706342311033884
"232","Grace College and Seminary","Yes",548,428,64,0.781021897810219
"233","Graceland College","Yes",555,414,47,0.745945945945946
"234","Grand Valley State University","No",5165,3887,57,0.752565343659245
"235","Green Mountain College","Yes",780,628,76,0.805128205128205
"236","Greensboro College","Yes",608,494,39,0.8125
"237","Greenville College","Yes",510,387,60,0.758823529411765
"238","Grinnell College","Yes",2039,1389,83,0.681216282491417
"239","Grove City College","Yes",2491,1110,100,0.445604175030108
"240","Guilford College","Yes",1202,1054,65,0.876871880199667
"241","Gustavus Adolphus College","Yes",1709,1385,80,0.810415447630193
"242","Gwynedd Mercy College","Yes",380,237,96,0.623684210526316
"243","Hamilton College","Yes",3140,1783,91,0.567834394904459
"244","Hamline University","Yes",1006,825,65,0.820079522862823
"245","Hampden - Sydney College","Yes",817,644,69,0.788249694002448
"246","Hampton University","Yes",7178,3755,70,0.523126219002508
"247","Hanover College","Yes",1006,837,64,0.832007952286282
"248","Hardin-Simmons University","Yes",467,424,38,0.907922912205567
"249","Harding University","Yes",1721,1068,73,0.620569436374201
"250","Hartwick College","Yes",2083,1725,73,0.828132501200192
"251","Harvard University","Yes",13865,2165,100,0.156148575549946
"252","Harvey Mudd College","Yes",1377,572,100,0.415395787944808
"253","Hastings College","Yes",817,708,52,0.866585067319461
"254","Hendrix College","Yes",823,721,63,0.876063183475091
"255","Hillsdale College","Yes",920,745,79,0.809782608695652
"256","Hiram College","Yes",922,729,79,0.790672451193059
"257","Hobart and William Smith Colleges","Yes",2688,2081,79,0.774181547619048
"258","Hofstra University","Yes",7428,5860,60,0.788906838987614
"259","Hollins College","Yes",602,498,72,0.827242524916944
"260","Hood College","Yes",699,565,72,0.80829756795422
"261","Hope College","Yes",1712,1483,72,0.866238317757009
"262","Houghton College","Yes",949,786,67,0.828240252897787
"263","Huntingdon College","Yes",608,520,44,0.855263157894737
"264","Huntington College","Yes",450,430,47,0.955555555555556
"265","Huron University","Yes",600,197,21,0.328333333333333
"266","Husson College","Yes",723,652,84,0.90179806362379
"267","Illinois Benedictine College","Yes",607,558,75,0.919275123558484
"268","Illinois College","Yes",894,787,52,0.880313199105145
"269","Illinois Institute of Technology","Yes",1756,1360,56,0.774487471526196
"270","Illinois State University","No",8681,6695,54,0.771224513304919
"271","Illinois Wesleyan University","Yes",3050,1342,83,0.44
"272","Immaculata College","Yes",268,253,69,0.944029850746269
"273","Incarnate Word College","Yes",1163,927,95,0.79707652622528
"274","Indiana State University","No",5659,4761,40,0.841314719915179
"275","Indiana University at Bloomington","No",16587,13243,68,0.798396334478809
"276","Indiana Wesleyan University","Yes",735,423,34,0.575510204081633
"277","Iona College","Yes",4892,3530,66,0.721586263286999
"278","Iowa State University","No",8427,7424,65,0.880977809422096
"279","Ithaca College","Yes",7259,5526,75,0.761261881801901
"280","James Madison University","No",11223,5285,98,0.470907956874276
"281","Jamestown College","Yes",472,410,54,0.86864406779661
"282","Jersey City State College","No",2957,1423,26,0.481230977341901
"283","John Brown University","Yes",605,405,75,0.669421487603306
"284","John Carroll University","Yes",2421,2109,89,0.871127633209418
"285","Johns Hopkins University","Yes",8474,3446,90,0.406655652584376
"286","Johnson State College","No",833,669,36,0.8031212484994
"287","Judson College","Yes",313,228,56,0.728434504792332
"288","Juniata College","Yes",1005,859,80,0.854726368159204
"289","Kansas State University","No",5880,4075,54,0.693027210884354
"290","Kansas Wesleyan University","Yes",589,575,68,0.976230899830221
"291","Keene State College","No",3121,2446,61,0.783723165652035
"292","Kentucky Wesleyan College","Yes",584,497,62,0.851027397260274
"293","Kenyon College","Yes",2212,1538,88,0.695298372513562
"294","Keuka College","Yes",461,381,51,0.82646420824295
"295","King's College","Yes",1456,1053,87,0.723214285714286
"296","King College","Yes",355,300,65,0.845070422535211
"297","Knox College","Yes",1040,845,79,0.8125
"298","La Roche College","Yes",361,321,52,0.889196675900277
"299","La Salle University","Yes",2929,1834,84,0.626152270399454
"300","Lafayette College","Yes",4010,2402,92,0.599002493765586
"301","LaGrange College","Yes",544,399,75,0.733455882352941
"302","Lake Forest College","Yes",979,638,77,0.651685393258427
"303","Lakeland College","Yes",497,452,57,0.909456740442656
"304","Lamar University","No",2336,1725,26,0.738441780821918
"305","Lambuth University","Yes",831,538,60,0.647412755716005
"306","Lander University","No",1166,1009,51,0.865351629502573
"307","Lawrence University","Yes",1243,947,77,0.761866452131939
"308","Le Moyne College","Yes",1470,1199,94,0.815646258503401
"309","Lebanon Valley College","Yes",1386,1060,85,0.764790764790765
"310","Lehigh University","Yes",6397,4304,91,0.672815382210411
"311","Lenoir-Rhyne College","Yes",979,743,66,0.758937691521961
"312","Lesley College","Yes",244,198,58,0.811475409836066
"313","LeTourneau University","Yes",477,417,56,0.874213836477987
"314","Lewis and Clark College","Yes",2774,2092,69,0.754145638067772
"315","Lewis University","Yes",1154,1050,61,0.909878682842288
"316","Lincoln Memorial University","Yes",787,562,53,0.714104193138501
"317","Lincoln University","No",1660,1091,45,0.657228915662651
"318","Lindenwood College","Yes",810,484,100,0.597530864197531
"319","Linfield College","Yes",1561,1188,81,0.761050608584241
"320","Livingstone College","Yes",900,473,92,0.525555555555556
"321","Lock Haven University of Pennsylvania","No",3570,2215,63,0.620448179271709
"322","Longwood College","No",2747,1870,62,0.680742628321806
"323","Loras College","Yes",1641,1283,70,0.781840341255332
"324","Louisiana College","Yes",2013,1053,59,0.523099850968703
"325","Louisiana State University at Baton Rouge","No",5996,4993,37,0.832721814543029
"326","Louisiana Tech University","No",2397,2144,45,0.894451397580309
"327","Loyola College","Yes",4076,3137,80,0.769627085377821
"328","Loyola Marymount University","Yes",3768,2662,84,0.706475583864119
"329","Loyola University","Yes",1891,1698,53,0.897937599153887
"330","Loyola University Chicago","Yes",3579,2959,65,0.826767253422744
"331","Luther College","Yes",1549,1392,77,0.89864428663654
"332","Lycoming College","Yes",1286,1005,72,0.78149300155521
"333","Lynchburg College","Yes",1756,1500,70,0.854214123006834
"334","Lyndon State College","No",535,502,51,0.938317757009346
"335","Macalester College","Yes",2939,1496,77,0.50901667233753
"336","MacMurray College","Yes",740,558,59,0.754054054054054
"337","Malone College","Yes",874,758,55,0.867276887871854
"338","Manchester College","Yes",1004,802,64,0.798804780876494
"339","Manhattan College","Yes",2432,1730,79,0.711348684210526
"340","Manhattanville College","Yes",962,750,70,0.77962577962578
"341","Mankato State University","No",3073,2672,68,0.869508623494956
"342","Marian College of Fond du Lac","Yes",824,670,59,0.813106796116505
"343","Marietta College","Yes",1611,960,96,0.595903165735568
"344","Marist College","Yes",4731,3171,69,0.670259987317692
"345","Marquette University","Yes",5152,4600,77,0.892857142857143
"346","Marshall University","Yes",4226,3666,50,0.867486985328916
"347","Mary Baldwin College","Yes",499,441,90,0.88376753507014
"348","Mary Washington College","No",4350,2178,84,0.500689655172414
"349","Marymount College Tarrytown","Yes",478,327,77,0.684100418410042
"350","Marymount Manhattan College","Yes",695,535,68,0.76978417266187
"351","Marymount University","Yes",941,772,55,0.820403825717322
"352","Maryville College","Yes",1464,888,51,0.60655737704918
"353","Maryville University","Yes",549,397,61,0.723132969034608
"354","Marywood College","Yes",1107,859,66,0.775971093044264
"355","Massachusetts Institute of Technology","Yes",6411,2140,94,0.33380127905163
"356","Mayville State University","No",233,233,51,1
"357","McKendree College","Yes",1002,555,52,0.553892215568862
"358","McMurry University","Yes",578,411,32,0.711072664359862
"359","McPherson College","Yes",420,293,48,0.697619047619048
"360","Mercer University","Yes",2286,1668,91,0.729658792650919
"361","Mercyhurst College","Yes",1557,1074,78,0.689788053949904
"362","Meredith College","Yes",857,772,82,0.900816802800467
"363","Merrimack College","Yes",1981,1541,80,0.7778899545684
"364","Mesa State College","No",1584,1456,59,0.919191919191919
"365","Messiah College","Yes",1742,1382,89,0.793340987370838
"366","Miami University at Oxford","No",9239,7788,85,0.842948371035826
"367","Michigan State University","No",18114,15096,71,0.833388539251408
"368","Michigan Technological University","No",2618,2288,65,0.873949579831933
"369","MidAmerica Nazarene College","Yes",331,331,49,1
"370","Millersville University of Penn.","No",6011,3075,71,0.511562136083846
"371","Milligan College","Yes",610,461,64,0.755737704918033
"372","Millikin University","Yes",1444,1261,75,0.873268698060942
"373","Millsaps College","Yes",905,834,58,0.921546961325967
"374","Milwaukee School of Engineering","Yes",1217,1088,67,0.894001643385374
"375","Mississippi College","Yes",594,385,61,0.648148148148148
"376","Mississippi State University","No",4255,3277,53,0.770152761457109
"377","Mississippi University for Women","No",480,405,63,0.84375
"378","Missouri Southern State College","No",1576,1326,100,0.841370558375635
"379","Missouri Valley College","Yes",1310,983,27,0.750381679389313
"380","Monmouth College IL","Yes",601,503,56,0.8369384359401
"381","Monmouth College","Yes",2707,1881,54,0.694865164388622
"382","Montana College of Mineral Sci. & Tech.","No",572,544,74,0.951048951048951
"383","Montana State University","No",3500,2836,37,0.810285714285714
"384","Montclair State University","No",5220,2128,58,0.407662835249042
"385","Montreat-Anderson College","Yes",263,223,15,0.847908745247148
"386","Moorhead State University","No",2442,2164,60,0.886158886158886
"387","Moravian College","Yes",1232,955,74,0.775162337662338
"388","Morehouse College","Yes",3708,1678,83,0.452535059331176
"389","Morningside College","Yes",586,533,56,0.909556313993174
"390","Morris College","Yes",882,730,60,0.82766439909297
"391","Mount Holyoke College","Yes",1800,1314,84,0.73
"392","Mount Marty College","Yes",279,276,44,0.989247311827957
"393","Mount Mary College","Yes",235,217,78,0.923404255319149
"394","Mount Mercy College","Yes",368,317,64,0.861413043478261
"395","Mount Saint Clare College","Yes",325,284,21,0.873846153846154
"396","Mount Saint Mary's College","Yes",1321,1159,80,0.877365632096896
"397","Mount Saint Mary College","Yes",1170,695,88,0.594017094017094
"398","Mount St. Mary's College","Yes",657,537,72,0.817351598173516
"399","Mount Union College","Yes",1310,1086,81,0.829007633587786
"400","Mount Vernon Nazarene College","Yes",510,485,58,0.950980392156863
"401","Muhlenberg College","Yes",2519,1836,83,0.728860658991663
"402","Murray State University","No",2225,1910,52,0.858426966292135
"403","Muskingum College","Yes",1109,922,73,0.831379621280433
"404","National-Louis University","Yes",513,347,71,0.676413255360624
"405","Nazareth College of Rochester","Yes",947,798,61,0.842661034846885
"406","New Jersey Institute of Technology","No",1879,1216,72,0.647152740819585
"407","New Mexico Institute of Mining and Tech.","No",787,601,34,0.763659466327827
"408","New York University","Yes",13594,7244,71,0.532882153891423
"409","Newberry College","Yes",872,722,83,0.827981651376147
"410","Niagara University","Yes",2220,1796,65,0.809009009009009
"411","North Adams State College","No",1563,1005,57,0.64299424184261
"412","North Carolina A. & T. State University","No",4809,3089,44,0.642337284258682
"413","North Carolina State University at Raleigh","No",10634,7064,62,0.664284370885838
"414","North Carolina Wesleyan College","Yes",812,689,52,0.848522167487685
"415","North Central College","Yes",1127,884,76,0.784383318544809
"416","North Dakota State University","No",2968,2297,42,0.773921832884097
"417","North Park College","Yes",465,361,74,0.776344086021505
"418","Northeast Missouri State University","No",6040,4577,76,0.757781456953642
"419","Northeastern University","Yes",11901,8492,46,0.713553482900597
"420","Northern Arizona University","No",5891,4931,41,0.837039551858768
"421","Northern Illinois University","No",10706,7219,56,0.674294787969363
"422","Northwest Missouri State University","No",2729,2535,54,0.928911689263466
"423","Northwest Nazarene College","Yes",616,514,58,0.834415584415584
"424","Northwestern College","Yes",860,811,68,0.943023255813954
"425","Northwestern University","Yes",12289,5200,92,0.423142647896493
"426","Norwich University","Yes",1743,1625,63,0.932300631095812
"427","Notre Dame College","Yes",379,324,33,0.854881266490765
"428","Oakland University","No",3041,2581,53,0.848733969089115
"429","Oberlin College","Yes",4778,2767,83,0.579112599413981
"430","Occidental College","Yes",2324,1319,79,0.567555938037866
"431","Oglethorpe University","Yes",792,649,67,0.819444444444444
"432","Ohio Northern University","Yes",2936,2342,83,0.797683923705722
"433","Ohio University","No",11023,8298,64,0.752789621700082
"434","Ohio Wesleyan University","Yes",2190,1700,75,0.776255707762557
"435","Oklahoma Baptist University","Yes",758,681,50,0.898416886543536
"436","Oklahoma Christian University","Yes",776,765,45,0.985824742268041
"437","Oklahoma State University","No",4522,3913,48,0.865325077399381
"438","Otterbein College","Yes",1496,1205,87,0.80548128342246
"439","Ouachita Baptist University","Yes",910,773,65,0.849450549450549
"440","Our Lady of the Lake University","Yes",2308,1336,37,0.578856152512998
"441","Pace University","Yes",8256,3750,62,0.45421511627907
"442","Pacific Lutheran University","Yes",1603,1392,83,0.86837180286962
"443","Pacific Union College","Yes",940,668,69,0.71063829787234
"444","Pacific University","Yes",943,849,42,0.900318133616119
"445","Pembroke State University","No",944,774,48,0.819915254237288
"446","Pennsylvania State Univ. Main Campus","No",19315,10344,63,0.535542324618172
"447","Pepperdine University","Yes",3821,2037,66,0.533106516618686
"448","Peru State College","No",701,501,44,0.714693295292439
"449","Pfeiffer College","Yes",838,651,48,0.776849642004773
"450","Philadelphia Coll. of Textiles and Sci.","Yes",1538,1259,68,0.818595578673602
"451","Phillips University","Yes",692,576,39,0.832369942196532
"452","Piedmont College","Yes",663,562,31,0.847662141779789
"453","Pikeville College","Yes",404,400,61,0.99009900990099
"454","Pitzer College","Yes",1133,630,73,0.556045895851721
"455","Point Loma Nazarene College","Yes",809,687,54,0.849196538936959
"456","Point Park College","Yes",875,744,66,0.850285714285714
"457","Polytechnic University","Yes",1132,847,62,0.748233215547703
"458","Prairie View A. and M. University","No",2405,2234,35,0.928898128898129
"459","Presbyterian College","Yes",1082,832,85,0.768946395563771
"460","Princeton University","Yes",13218,2042,99,0.154486306551672
"461","Providence College","Yes",5139,3346,96,0.651099435687877
"462","Purdue University at West Lafayette","No",21804,18744,67,0.859658778205834
"463","Queens College","Yes",516,392,58,0.75968992248062
"464","Quincy University","Yes",1025,707,80,0.689756097560976
"465","Quinnipiac College","Yes",3712,2153,86,0.580010775862069
"466","Radford University","No",5702,4894,62,0.858295334970186
"467","Ramapo College of New Jersey","No",2088,957,47,0.458333333333333
"468","Randolph-Macon College","Yes",1771,1325,74,0.748164878599661
"469","Randolph-Macon Woman's College","Yes",696,616,68,0.885057471264368
"470","Reed College","Yes",1966,1436,68,0.730417090539166
"471","Regis College","Yes",427,385,84,0.901639344262295
"472","Rensselaer Polytechnic Institute","Yes",4996,4165,70,0.833666933546838
